Number,Draw Date,Prize Group
0000,2025-02-23,Consolation Prize
0000,2024-11-20,Second Prize
0000,2020-06-24,Consolation Prize
0000,2016-02-21,Consolation Prize
0000,2016-01-20,Consolation Prize
0000,2014-10-05,First Prize
0000,2014-09-06,Second Prize
0000,2013-10-26,Starter Prize
0000,2012-01-29,Starter Prize
0000,2011-08-06,Consolation Prize
0000,2009-06-13,Consolation Prize
0000,2006-05-14,Starter Prize
0000,2005-08-21,Starter Prize
0000,2005-04-13,Consolation Prize
0000,2002-09-14,Consolation Prize
0000,2000-11-15,Consolation Prize
0001,2021-03-13,Second Prize
0001,2019-01-09,Consolation Prize
0001,2018-08-22,Consolation Prize
0001,2017-02-25,Consolation Prize
0001,2015-03-21,Starter Prize
0001,2013-07-14,Starter Prize
0001,2013-02-06,Consolation Prize
0001,2006-04-26,Starter Prize
0001,1994-12-11,First Prize
0001,1993-11-06,Starter Prize
0001,1988-12-24,Second Prize
0002,2019-03-16,Starter Prize
0002,2014-05-25,Consolation Prize
0002,2014-04-19,Consolation Prize
0002,2013-02-06,Starter Prize
0002,2009-10-07,Consolation Prize
0002,2009-02-08,Consolation Prize
0002,2005-05-04,Consolation Prize
0002,2004-06-13,Consolation Prize
0002,2004-02-07,Third Prize
0002,2004-01-03,Starter Prize
0002,2003-05-07,Starter Prize
0002,2003-02-22,Starter Prize
0002,1998-02-04,Starter Prize
0002,1988-06-25,Consolation Prize
0002,1987-11-08,Starter Prize
0003,2020-01-26,Starter Prize
0003,2016-08-27,Starter Prize
0003,2015-06-13,Starter Prize
0003,2015-03-22,Starter Prize
0003,2008-10-08,Consolation Prize
0003,2004-02-01,Starter Prize
0003,2001-08-18,Starter Prize
0003,1992-01-11,Starter Prize
0003,1990-06-23,Starter Prize
0004,2023-08-05,Starter Prize
0004,2018-10-17,Starter Prize
0004,2006-12-23,Consolation Prize
0004,2004-05-05,Consolation Prize
0004,2003-07-20,Consolation Prize
0004,2000-05-07,Starter Prize
0004,1993-08-07,Consolation Prize
0004,1993-05-22,Starter Prize
0005,2021-12-29,Starter Prize
0005,2018-04-15,Starter Prize
0005,2016-07-03,First Prize
0005,2001-04-14,Starter Prize
0005,1993-07-07,Consolation Prize
0006,2022-08-03,Consolation Prize
0006,2018-05-26,Starter Prize
0006,2014-04-06,Third Prize
0006,2013-09-01,Consolation Prize
0006,2012-08-15,Consolation Prize
0006,2011-12-07,Consolation Prize
0006,2007-01-28,Third Prize
0006,2002-02-02,Consolation Prize
0006,1999-12-25,Starter Prize
0006,1997-08-10,Starter Prize
0006,1996-01-28,Starter Prize
0006,1995-05-14,Consolation Prize
0006,1990-05-20,Second Prize
0006,1986-07-20,Starter Prize
0007,2024-03-10,Consolation Prize
0007,2023-10-14,Starter Prize
0007,2011-06-05,Starter Prize
0007,2009-12-27,Third Prize
0007,2005-06-22,Starter Prize
