Draw,Date,Win_1,Win_2,Win_3,Win_4,Win_5,Win_6,Addl No.,From Last,Sum,Average,Low/High,Odd/Even,1-10,11-20,21-30,31-40,41-50
4151,2026-01-26,10,11,13,26,32,39,44,32 / 44,131,22,3 / 3,3 / 3,1,2,1,2,0
4150,2026-01-22,6,22,27,32,37,44,19,,168,28,2 / 4,2 / 4,1,0,2,2,1
4149,2026-01-19,4,11,21,23,31,35,48,35,125,21,4 / 2,5 / 1,1,1,2,2,0
4148,2026-01-15,16,32,34,35,36,41,14,16 / 35,194,32,1 / 5,2 / 4,0,1,0,4,1
4147,2026-01-12,1,9,16,18,35,43,12,,122,20,4 / 2,4 / 2,2,2,0,1,1
4146,2026-01-08,3,14,15,17,25,27,31,,101,17,4 / 2,5 / 1,1,3,2,0,0
4145,2026-01-05,5,20,35,39,40,49,27,20 / 39,188,31,2 / 4,4 / 2,1,1,0,3,1
4144,2026-01-02,11,18,20,32,38,39,34,,158,26,3 / 3,2 / 4,0,3,0,3,0
4143,2025-12-29,2,4,22,24,30,33,49,,115,19,4 / 2,1 / 5,2,0,3,1,0
4142,2025-12-25,3,8,15,28,37,43,49,,134,22,3 / 3,4 / 2,2,1,1,1,1
4141,2025-12-22,4,5,13,22,24,30,36,30,98,16,5 / 1,2 / 4,2,1,3,0,0
4140,2025-12-18,2,14,15,30,31,43,27,,135,23,3 / 3,3 / 3,1,2,1,1,1
4139,2025-12-15,17,21,22,35,37,42,9,,174,29,3 / 3,4 / 2,0,1,2,2,1
4138,2025-12-11,6,11,20,28,33,43,16,,141,24,3 / 3,3 / 3,1,2,1,1,1
4137,2025-12-08,9,12,15,23,27,47,45,,133,22,4 / 2,5 / 1,1,2,2,0,1
4136,2025-12-04,1,5,24,36,41,46,39,24,153,26,3 / 3,3 / 3,2,0,1,1,2
4135,2025-12-01,2,10,24,35,45,49,37,,165,28,3 / 3,3 / 3,2,0,1,1,2
4134,2025-11-27,6,8,17,28,32,46,16,8,137,23,3 / 3,1 / 5,2,1,1,1,1
4133,2025-11-24,8,25,27,34,45,47,19,47,186,31,1 / 5,4 / 2,1,0,2,1,2
4132,2025-11-20,11,13,22,31,47,49,39,,173,29,3 / 3,5 / 1,0,2,1,1,2
4131,2025-11-17,3,9,12,18,19,34,24,18 / 34,95,16,5 / 1,3 / 3,2,3,0,1,0
4130,2025-11-13,6,13,18,22,34,35,40,,128,21,4 / 2,2 / 4,1,2,1,2,0
4129,2025-11-10,2,11,12,19,25,36,16,,105,18,4 / 2,3 / 3,1,3,1,1,0
4128,2025-11-06,3,20,24,29,32,44,46,,152,25,3 / 3,2 / 4,1,1,2,1,1
4127,2025-11-03,10,19,22,34,39,43,35,34,167,28,3 / 3,3 / 3,1,1,1,2,1
